BstopId,BstopNr,Times_late
5051,02,9
1279,02,7
5048,02,6
2098,01,6
5050,02,6
5163,02,5
1146,01,4
5052,02,4
5098,02,4
4031,01,4
4036,01,4
1155,02,4
2097,01,4
3085,01,4
5053,02,4
5054,02,4
3138,04,4
3084,02,4
1219,02,3
3084,51,3
7076,02,3
3012,02,3
2109,02,3
4122,02,3
6133,03,3
1057,02,3
3011,02,3
2100,01,3
7093,06,3
1058,02,3
3011,06,3
7071,02,3
4030,01,3
3280,02,3
4035,01,3
1059,02,3
7009,02,3
5161,01,3
1013,03,3
2096,01,3
7040,01,2
4051,01,2
3228,02,2
1060,04,2
5098,01,2
4034,01,2
3084,54,2
3151,06,2
2128,01,2
5096,01,2
4258,04,2
2018,01,2
1001,01,2
2144,01,2
7071,01,2
7044,01,2
3151,04,2
5107,01,2
3064,01,2
3058,54,2
3063,01,2
5043,05,2
1052,02,2
5099,01,2
4348,01,2
2016,01,2
3019,02,2
5062,01,2
4047,01,2
3284,02,2
4046,01,2
4336,02,2
6020,02,2
5100,02,2
3014,02,2
5061,02,2
1313,01,2
1060,01,2
3248,03,2
5108,02,2
5160,01,2
1159,01,2
3045,03,2
1157,04,2
5109,02,2
5047,02,2
1156,02,2
5031,02,2
1256,02,2
2143,02,2
5049,02,2
3139,04,2
5063,02,2
6075,05,2
5077,02,2
1058,01,2
2145,01,2
5033,02,2
3229,04,2
3057,02,2
5064,01,2
3028,51,2
7067,01,2
1013,04,2
5060,02,2
1147,04,2
1003,04,2
3207,01,2
3203,04,2
2138,01,2
3085,52,2
1158,03,2
6077,06,2
1017,02,2
7014,02,2
1162,06,2
1159,02,2
3016,02,2
1258,02,2
3246,01,2
5214,01,2
6076,02,2
4045,03,2
7013,04,2
4033,01,2
4005,06,2
5102,01,2
1153,02,2
5007,05,2
4094,02,2
4101,02,2
3151,01,2
2174,02,2
3039,01,2
2373,01,2
1056,02,2
6136,02,2
3060,01,2
2097,03,2
4037,01,2
3218,03,2
7040,03,2
3279,02,2
5007,06,2
1497,01,2
3097,02,2
5133,02,2
6155,03,2
4048,04,2
3100,01,2
7042,01,2
5146,02,2
3096,02,2
3020,01,2
1225,01,2
3206,01,2
1146,02,2
5046,02,2
2018,02,2
3021,01,2
5110,01,2
7076,03,2
4214,01,2
2362,02,2
1066,06,2
3018,01,2
5028,03,2
6132,02,2
4343,01,2
4283,02,2
3465,02,2
2372,01,2
3013,02,2
6137,02,2
5096,02,2
5100,03,2
6093,02,2
1319,02,2
7037,06,2
1210,02,1
1109,01,1
5030,02,1
1481,02,1
5131,02,1
3067,01,1
3157,01,1
3330,02,1
1107,01,1
7050,02,1
1376,02,1
7046,02,1
1263,02,1
3030,53,1
1371,02,1
2481,01,1
1018,01,1
2178,02,1
1498,01,1
1372,02,1
4070,02,1
2149,03,1
2416,02,1
1570,02,1
1045,02,1
5125,02,1
2415,01,1
3332,02,1
1061,02,1
4069,02,1
1264,02,1
1272,02,1
1108,01,1
5043,02,1
3099,02,1
5067,06,1
3326,02,1
1499,01,1
5034,03,1
1297,02,1
5112,02,1
7039,02,1
7038,04,1
1256,03,1
3033,51,1
1017,01,1
5132,02,1
1500,01,1
3335,02,1
1065,02,1
5099,02,1
3354,51,1
1271,02,1
4016,01,1
6165,01,1
1566,01,1
7071,06,1
3353,01,1
3036,01,1
1106,01,1
1423,04,1
2143,01,1
1046,02,1
5072,04,1
3350,01,1
5009,08,1
2175,02,1
5071,04,1
2145,03,1
7073,02,1
2347,01,1
1373,02,1
5005,06,1
3351,01,1
3384,02,1
1304,01,1
1469,05,1
1267,02,1
5060,01,1
3035,01,1
2050,02,1
7049,02,1
2346,03,1
5129,02,1
5059,01,1
1047,02,1
3017,02,1
3325,01,1
1065,01,1
1268,02,1
3168,02,1
1251,03,1
2417,02,1
7074,02,1
5058,04,1
6162,01,1
1250,04,1
4253,02,1
3158,51,1
3068,01,1
3169,02,1
2430,02,1
1689,02,1
3307,01,1
7076,01,1
5044,02,1
1110,01,1
5042,01,1
3339,01,1
5045,02,1
1506,04,1
5026,04,1
3018,02,1
6164,01,1
2131,03,1
1211,01,1
1060,02,1
1270,02,1
3331,02,1
5023,02,1
2177,02,1
3320,02,1
3098,05,1
1374,02,1
1269,02,1
6163,01,1
1565,01,1
1048,02,1
5057,01,1
5130,02,1
6161,01,1
2140,01,1
2270,01,1
1375,02,1
1478,02,1
1123,02,1
3015,02,1
2150,03,1
2292,01,1
2003,01,1
1062,02,1
4167,01,1
3123,01,1
5020,02,1
5063,03,1
2107,03,1
2073,01,1
4265,02,1
3468,02,1
2148,09,1
6016,02,1
3208,01,1
4084,01,1
4143,02,1
4079,02,1
2097,02,1
4170,01,1
5106,01,1
2072,01,1
2205,03,1
2098,02,1
1562,52,1
1687,01,1
2074,01,1
4085,01,1
2147,01,1
3122,03,1
2043,08,1
4264,02,1
5028,02,1
6006,03,1
6061,01,1
7037,55,1
4199,01,1
1290,54,1
4168,01,1
2126,02,1
4038,04,1
4077,02,1
4101,03,1
3124,01,1
1685,02,1
4078,02,1
2314,02,1
2106,01,1
4169,01,1
6004,01,1
3190,01,1
4198,02,1
5045,01,1
1085,04,1
3043,01,1
3323,01,1
1158,01,1
4175,01,1
2015,01,1
3862,01,1
3299,02,1
3384,01,1
4116,02,1
1292,01,1
2208,01,1
5026,01,1
3044,01,1
3324,01,1
4175,02,1
6021,02,1
4184,01,1
2014,01,1
3134,04,1
5025,01,1
3439,01,1
1071,01,1
5020,01,1
3251,03,1
4141,02,1
4171,01,1
2071,01,1
3200,04,1
2099,02,1
1070,02,1
3164,03,1
2206,01,1
3348,01,1
6047,02,1
2058,01,1
2059,01,1
4003,02,1
3308,01,1
4173,01,1
3431,01,1
6006,04,1
5064,03,1
3754,01,1
4174,01,1
2075,01,1
7009,01,1
1529,02,1
7099,02,1
3422,02,1
5032,02,1
3026,52,1
4072,02,1
1104,01,1
