Line,Times_late
167,58
145,43
190,36
220,34
112,33
135,29
509,29
193,28
122,27
705,26
709,25
141,25
188,24
166,22
111,21
189,20
180,20
148,20
107,19
186,19
213,19
211,18
185,18
152,17
114,17
523,16
134,15
170,15
713,14
502,14
125,14
737,14
164,13
520,13
157,13
162,13
731,13
728,13
106,13
522,12
156,12
127,12
129,12
175,11
517,11
178,10
197,10
715,9
719,8
727,8
179,8
717,7
L-5,7
177,7
191,7
119,7
518,7
154,7
184,7
128,7
115,6
116,6
207,6
504,6
711,5
120,5
217,4
263,4
503,4
251,4
702,4
138,3
105,3
724,3
117,3
704,3
210,3
187,3
L24,2
519,2
739,2
143,2
168,2
525,2
L40,2
710,2
209,1
L45,1
136,1
516,1
159,1
126,1
103,1
147,1
