Line,Times_exceeded
502,232
523,227
186,206
112,197
189,182
518,181
509,181
171,147
709,139
705,132
143,127
116,124
738,123
503,120
719,117
521,117
148,112
168,110
728,109
166,107
517,106
114,104
735,102
727,101
520,98
105,97
213,95
180,94
122,94
525,93
514,90
141,90
717,89
190,87
512,87
140,87
511,87
733,84
132,83
145,81
710,81
187,77
127,75
220,75
500,74
188,74
136,71
191,69
146,69
730,67
156,67
119,66
707,65
167,65
181,65
210,64
111,63
263,60
715,60
185,58
504,57
739,57
713,57
147,57
731,56
519,56
103,55
199,54
134,53
723,53
743,50
N42,50
177,49
164,49
737,47
142,47
192,45
516,45
139,44
125,44
704,43
178,43
138,43
200,42
154,42
107,42
126,42
507,40
131,40
L22,40
182,40
173,40
123,38
711,38
120,38
L40,37
L26,37
151,37
251,37
409,36
L18,36
207,35
176,34
212,33
179,33
217,33
703,32
750,32
162,32
150,32
194,30
716,30
219,30
108,30
198,29
250,28
193,28
184,28
183,27
211,27
249,26
L32,26
522,26
742,25
115,25
264,24
256,24
160,24
720,24
201,22
159,22
724,22
117,22
172,21
158,21
226,20
169,20
161,20
157,18
175,18
129,18
228,18
165,18
197,17
110,17
153,16
209,16
527,15
152,15
L45,15
203,14
128,14
729,14
218,14
118,13
124,13
714,12
736,12
245,11
106,11
702,11
133,11
174,11
L33,11
135,10
L36,10
196,9
208,9
721,9
Z26,9
102,9
255,9
L38,9
706,8
204,7
170,7
712,6
234,6
104,6
L49,6
222,6
722,5
262,5
239,5
N02,5
N03,4
240,4
L-8,4
L43,4
149,2
L-5,2
202,2
L29,1
121,1
L15,1
