Lat,Lon,Times_exceeded
52.281,20.982,21.0
52.225,21.048,21.0
52.226,21.053,21.0
52.226,21.052,20.0
52.226,21.051,20.0
52.225,21.049,19.0
52.221,21.032,19.0
52.297,20.996,18.0
52.216,20.915,16.0
52.242,21.05,16.0
52.226,21.05,16.0
52.275,20.97,16.0
52.214,20.955,16.0
52.225,21.046,15.0
52.203,20.939,15.0
52.288,20.997,15.0
52.287,20.995,15.0
52.207,20.945,14.0
52.295,20.998,14.0
52.225,21.047,14.0
52.299,20.994,14.0
52.285,20.99,14.0
52.231,21.072,13.0
52.289,20.999,13.0
52.3,20.993,13.0
52.296,20.997,13.0
52.286,20.992,13.0
52.284,20.988,13.0
52.287,20.994,13.0
52.283,20.986,12.0
52.204,20.941,12.0
52.286,20.993,12.0
52.184,21.067,12.0
52.276,20.972,12.0
52.28,20.98,12.0
52.22,21.029,12.0
52.221,21.031,12.0
52.298,20.995,12.0
52.213,20.954,12.0
52.215,20.957,11.0
52.222,20.959,11.0
52.224,21.043,11.0
52.221,21.033,11.0
52.208,20.946,11.0
52.301,20.992,11.0
52.244,21.049,11.0
52.278,20.975,11.0
52.209,20.947,11.0
52.277,20.973,10.0
52.282,20.984,10.0
52.285,20.991,10.0
52.317,20.975,10.0
52.288,20.996,10.0
52.192,21.045,10.0
52.159,21.041,10.0
52.232,21.132,10.0
52.224,21.041,10.0
52.219,20.96,10.0
52.231,21.135,10.0
52.245,21.048,10.0
52.233,21.075,9.0
52.226,21.148,9.0
52.217,20.915,9.0
52.239,21.132,9.0
52.205,20.892,9.0
52.225,20.958,9.0
52.215,20.915,9.0
52.195,21.042,9.0
52.314,20.977,9.0
52.318,20.974,9.0
52.283,20.985,9.0
52.222,21.035,9.0
52.231,21.134,9.0
52.235,21.095,9.0
52.187,20.98,9.0
52.231,21.071,9.0
52.293,21.0,9.0
52.227,21.055,8.0
52.255,20.997,8.0
52.224,21.042,8.0
52.227,21.058,8.0
52.217,20.996,8.0
52.14,21.098,8.0
52.204,20.893,8.0
52.211,20.895,8.0
52.194,21.043,8.0
52.218,20.916,8.0
52.276,20.971,8.0
52.273,21.015,8.0
52.277,20.974,8.0
52.225,21.05,8.0
52.224,21.024,8.0
52.214,20.896,8.0
52.22,21.03,8.0
52.264,21.056,8.0
52.299,21.057,8.0
52.237,21.045,8.0
52.199,20.933,8.0
52.236,21.042,8.0
52.221,21.03,8.0
52.217,21.001,8.0
52.115,21.108,8.0
52.281,20.981,8.0
52.222,20.926,8.0
52.234,21.104,8.0
52.31,20.981,8.0
52.185,21.066,7.0
52.212,20.895,7.0
52.301,21.037,7.0
52.24,21.112,7.0
52.223,20.958,7.0
52.316,20.976,7.0
52.169,21.018,7.0
52.297,21.084,7.0
52.101,21.019,7.0
52.232,21.074,7.0
52.195,21.054,7.0
52.217,20.997,7.0
52.256,21.038,7.0
52.234,20.956,7.0
52.215,21.093,7.0
52.283,20.987,7.0
52.237,21.044,7.0
52.23,21.137,7.0
52.102,21.019,7.0
52.125,21.096,7.0
52.137,21.1,7.0
52.228,21.059,7.0
52.233,21.123,7.0
52.161,21.017,7.0
52.169,21.039,7.0
52.233,20.956,7.0
52.232,21.133,7.0
52.23,20.897,7.0
52.217,21.002,7.0
52.266,21.027,7.0
52.218,20.96,7.0
52.284,20.989,7.0
52.205,20.941,7.0
52.095,21.019,7.0
52.23,21.136,7.0
52.283,21.047,7.0
52.208,21.085,7.0
52.289,20.998,7.0
52.217,21.017,7.0
52.302,20.991,7.0
52.204,20.94,7.0
52.221,20.96,7.0
52.292,21.065,7.0
52.214,20.914,7.0
52.22,20.96,7.0
52.113,21.11,7.0
52.3,21.086,7.0
52.21,20.949,7.0
52.187,20.967,7.0
52.219,21.092,7.0
52.135,21.018,7.0
52.235,20.956,7.0
52.232,21.13,6.0
52.236,20.956,6.0
52.224,21.044,6.0
52.198,20.904,6.0
52.219,20.897,6.0
52.2,21.037,6.0
52.224,21.045,6.0
52.217,21.009,6.0
52.298,20.934,6.0
52.306,20.986,6.0
52.187,20.969,6.0
52.266,20.931,6.0
52.224,20.958,6.0
52.297,20.934,6.0
52.162,21.085,6.0
52.237,21.047,6.0
52.217,20.999,6.0
52.265,20.93,6.0
52.213,21.09,6.0
52.143,21.096,6.0
52.173,21.065,6.0
52.217,20.963,6.0
52.232,21.073,6.0
52.294,20.999,6.0
52.212,21.088,6.0
52.245,20.912,6.0
52.141,21.097,6.0
52.258,21.042,6.0
52.26,21.048,6.0
52.246,20.912,6.0
52.229,20.897,6.0
52.285,21.008,6.0
52.243,21.049,6.0
52.199,20.932,6.0
52.296,20.933,6.0
52.289,21.0,6.0
52.229,21.008,6.0
52.222,21.034,6.0
52.287,20.996,6.0
52.137,21.018,6.0
52.224,21.215,6.0
52.227,21.144,6.0
52.275,21.065,6.0
52.233,20.897,6.0
52.292,21.008,6.0
52.296,21.083,6.0
52.282,20.983,6.0
52.207,20.892,6.0
52.176,21.062,6.0
52.295,21.082,6.0
52.298,20.935,6.0
52.136,21.018,6.0
52.259,21.004,6.0
52.158,21.017,6.0
52.234,20.897,6.0
52.226,21.168,6.0
52.2,20.934,6.0
52.114,21.109,6.0
52.206,20.889,6.0
52.198,20.932,6.0
52.235,21.093,6.0
52.226,21.17,6.0
52.241,21.05,6.0
52.18,21.045,6.0
52.197,20.906,6.0
52.167,21.08,6.0
52.236,21.04,5.0
52.278,21.012,5.0
52.303,20.99,5.0
52.304,21.049,5.0
52.169,21.012,5.0
52.196,21.041,5.0
52.218,20.906,5.0
52.234,21.032,5.0
52.217,20.995,5.0
52.203,20.895,5.0
52.208,20.987,5.0
52.284,21.047,5.0
52.193,21.044,5.0
52.274,20.965,5.0
52.226,21.146,5.0
52.117,21.106,5.0
52.306,20.908,5.0
52.29,21.001,5.0
52.275,20.969,5.0
52.319,20.974,5.0
52.303,20.938,5.0
52.252,21.139,5.0
52.201,21.058,5.0
52.164,21.036,5.0
52.26,21.046,5.0
52.262,21.013,5.0
52.234,21.076,5.0
52.121,21.018,5.0
52.13,21.018,5.0
52.16,21.04,5.0
52.358,21.029,5.0
52.158,21.018,5.0
52.265,21.057,5.0
52.161,21.097,5.0
52.168,21.014,5.0
52.182,20.95,5.0
52.216,21.095,5.0
52.294,21.0,5.0
52.229,20.973,5.0
52.293,21.017,5.0
52.234,21.105,5.0
52.217,21.026,5.0
52.26,20.995,5.0
52.167,21.017,5.0
52.203,20.93,5.0
52.233,21.121,5.0
52.257,21.04,5.0
52.177,21.06,5.0
52.193,20.924,5.0
52.299,21.085,5.0
52.116,21.107,5.0
52.195,20.932,5.0
52.238,21.131,5.0
52.315,21.006,5.0
52.17,21.019,5.0
52.217,21.0,5.0
52.263,21.054,5.0
52.223,21.04,5.0
52.203,21.071,5.0
52.214,21.092,5.0
52.303,21.046,5.0
52.291,21.006,5.0
52.195,21.041,5.0
52.173,21.043,5.0
52.219,20.913,5.0
52.256,20.997,5.0
52.233,21.12,5.0
52.257,20.949,5.0
52.248,21.138,5.0
52.226,21.151,5.0
52.196,20.911,5.0
52.214,20.956,5.0
52.235,21.078,5.0
52.285,20.989,5.0
52.212,21.089,5.0
52.126,21.018,5.0
52.311,21.004,5.0
52.156,21.018,5.0
52.274,20.968,5.0
52.388,21.031,5.0
52.159,21.017,5.0
52.274,21.065,5.0
52.159,21.018,5.0
52.183,21.068,5.0
52.259,21.044,5.0
52.216,20.959,5.0
52.144,21.095,5.0
52.21,21.086,5.0
52.252,21.038,5.0
52.262,21.052,5.0
52.226,21.054,5.0
52.236,21.13,5.0
52.245,21.049,5.0
52.217,21.01,5.0
52.315,20.976,5.0
52.22,20.914,5.0
52.12,21.018,5.0
52.313,20.967,5.0
52.228,21.001,5.0
52.201,20.936,5.0
52.265,21.025,5.0
52.234,21.077,5.0
52.294,21.017,5.0
52.226,21.173,5.0
52.218,20.896,5.0
52.224,21.207,4.0
52.303,20.944,4.0
52.347,21.125,4.0
52.226,20.957,4.0
52.301,21.039,4.0
52.3,20.938,4.0
52.25,21.139,4.0
52.225,21.192,4.0
52.267,21.03,4.0
52.125,21.018,4.0
52.168,21.018,4.0
52.167,21.018,4.0
52.236,21.043,4.0
52.234,21.102,4.0
52.303,20.906,4.0
52.233,21.118,4.0
52.304,20.907,4.0
52.229,20.976,4.0
52.191,21.074,4.0
52.225,21.186,4.0
52.158,21.043,4.0
52.178,21.074,4.0
52.368,21.029,4.0
52.341,21.12,4.0
52.204,21.049,4.0
52.227,21.097,4.0
52.264,21.055,4.0
52.209,20.948,4.0
52.163,21.017,4.0
52.186,20.972,4.0
52.153,21.092,4.0
52.239,20.908,4.0
52.275,21.014,4.0
52.214,21.017,4.0
52.215,21.016,4.0
52.217,21.004,4.0
52.251,21.04,4.0
52.281,21.011,4.0
52.189,20.961,4.0
52.191,20.92,4.0
52.225,21.178,4.0
52.233,21.122,4.0
52.202,21.116,4.0
52.283,21.009,4.0
52.226,21.149,4.0
52.134,21.018,4.0
52.282,21.01,4.0
52.307,21.061,4.0
52.157,21.191,4.0
52.181,20.991,4.0
52.218,21.026,4.0
52.12,21.1,4.0
52.198,20.912,4.0
52.251,21.148,4.0
52.239,21.081,4.0
52.181,21.045,4.0
52.158,21.088,4.0
52.188,20.98,4.0
52.216,20.961,4.0
52.223,21.041,4.0
52.231,21.073,4.0
52.287,21.007,4.0
52.225,21.199,4.0
52.213,21.091,4.0
52.302,20.941,4.0
52.191,20.953,4.0
52.302,21.088,4.0
52.295,21.016,4.0
52.209,21.086,4.0
52.222,20.923,4.0
52.217,21.016,4.0
52.206,20.892,4.0
52.205,21.081,4.0
52.302,21.041,4.0
52.18,20.877,4.0
52.198,20.931,4.0
52.116,21.018,4.0
52.302,20.939,4.0
52.2,21.05,4.0
52.227,20.897,4.0
52.213,20.896,4.0
52.268,20.932,4.0
52.179,21.045,4.0
52.154,21.091,4.0
52.218,20.909,4.0
52.172,21.042,4.0
52.293,21.01,4.0
52.236,21.058,4.0
52.215,20.965,4.0
52.199,20.919,4.0
52.174,21.016,4.0
52.216,20.96,4.0
52.202,20.938,4.0
52.23,21.024,4.0
52.236,21.091,4.0
52.262,21.051,4.0
52.197,20.912,4.0
52.229,20.974,4.0
52.3,20.992,4.0
52.18,20.992,4.0
52.263,20.952,4.0
52.25,20.956,4.0
52.235,20.897,4.0
52.156,21.186,4.0
52.279,20.923,4.0
52.251,21.026,4.0
52.162,21.106,4.0
52.101,21.115,4.0
