BstopId,BstopNr,Times_late
3084,51,30
3085,01,28
7040,02,26
3084,02,20
7044,02,18
7040,01,17
7046,02,15
3026,52,15
7049,02,15
4035,01,14
3026,53,14
7033,01,13
7040,03,13
3064,01,12
7006,01,12
4031,01,12
7042,02,12
4033,01,12
4036,01,12
3027,52,12
1146,01,12
3138,04,11
7013,06,11
3058,02,11
7050,02,11
5048,02,11
3028,51,10
3039,01,10
3027,01,10
7045,02,10
2097,01,10
1279,02,10
7013,15,10
3468,02,10
4051,02,10
4037,04,9
5109,02,9
5108,01,9
4030,01,9
4034,01,9
3092,01,9
2098,01,9
7006,08,9
4046,02,9
4047,02,9
5047,02,9
3036,01,9
4052,02,9
4214,01,9
7071,02,9
7037,55,9
3032,52,9
7038,02,9
4348,01,9
7009,01,8
2008,10,8
5109,01,8
7002,02,8
7071,01,8
4044,01,8
5108,02,8
5049,02,8
3033,51,8
3057,02,8
3280,02,8
7048,02,8
4085,02,8
1147,04,8
3030,01,8
7040,04,8
5058,04,8
3032,01,8
4044,02,8
2130,02,8
1153,02,8
3035,01,8
2097,02,8
3058,01,7
2099,01,7
4048,04,7
6021,02,7
1162,06,7
3026,51,7
1052,02,7
6076,02,7
3308,02,7
3093,01,7
3063,01,7
4101,02,7
4212,02,7
1057,02,7
4051,01,7
7073,02,7
4116,01,7
4001,03,7
1155,02,7
3034,51,7
5047,03,7
4037,01,7
1159,01,7
6020,02,7
5048,01,7
3254,02,7
2098,02,7
4219,02,7
6022,02,7
7051,02,6
3323,02,6
4258,04,6
3094,01,6
7037,01,6
5097,02,6
2144,01,6
2100,02,6
4005,06,6
1058,02,6
3059,01,6
3254,01,6
7009,02,6
3122,01,6
7065,01,6
4123,02,6
6077,06,6
5028,05,6
3095,01,6
7026,02,6
7074,02,6
1060,04,6
7044,01,6
7047,01,6
3098,02,6
3043,01,6
4045,02,6
2107,04,6
3033,03,6
4199,02,6
3251,03,6
7002,01,6
4093,02,6
5028,01,6
3250,02,6
4029,01,6
7042,01,6
1013,03,6
3005,01,6
2146,04,6
7014,02,6
7011,02,6
6006,04,6
3002,04,6
1059,02,6
1158,03,6
3039,02,6
