Lat,Lon,Times_exceeded
52.226,21.051,21.0
52.299,20.994,19.0
52.231,21.072,19.0
52.286,20.992,19.0
52.298,20.995,18.0
52.225,21.047,18.0
52.295,20.998,16.0
52.3,20.993,16.0
52.225,21.049,16.0
52.296,20.997,15.0
52.297,20.996,15.0
52.194,21.043,15.0
52.287,20.994,15.0
52.284,20.989,15.0
52.225,21.048,15.0
52.285,20.99,14.0
52.221,21.033,14.0
52.289,20.999,14.0
52.277,20.973,14.0
52.276,20.972,13.0
52.232,21.073,13.0
52.232,21.132,13.0
52.221,21.032,13.0
52.282,20.984,13.0
52.226,21.05,12.0
52.195,21.042,12.0
52.224,21.043,12.0
52.22,21.03,12.0
52.288,20.997,12.0
52.301,20.992,12.0
52.221,21.031,11.0
52.219,20.96,11.0
52.215,20.915,11.0
52.231,21.134,11.0
52.233,21.075,11.0
52.216,20.915,11.0
52.238,21.131,11.0
52.217,20.915,10.0
52.216,21.095,10.0
52.215,20.957,10.0
52.281,20.982,10.0
52.284,20.988,10.0
52.288,20.996,10.0
52.302,20.991,10.0
52.225,21.046,10.0
52.283,20.986,10.0
52.226,21.053,10.0
52.244,21.049,10.0
52.287,20.995,10.0
52.226,21.052,10.0
52.28,20.98,10.0
52.135,21.018,9.0
52.22,21.029,9.0
52.222,21.035,9.0
52.276,20.971,9.0
52.186,20.97,9.0
52.226,21.054,9.0
52.22,20.96,9.0
52.213,21.09,9.0
52.224,21.042,9.0
52.232,21.074,9.0
52.284,20.987,9.0
52.241,21.05,8.0
52.31,20.981,8.0
52.246,21.048,8.0
52.139,21.099,8.0
52.234,21.104,8.0
52.236,21.043,8.0
52.245,20.912,8.0
52.167,21.08,8.0
52.226,21.147,8.0
52.137,21.018,8.0
52.209,20.948,8.0
52.262,21.052,8.0
52.214,20.956,8.0
52.218,20.916,8.0
52.223,21.04,8.0
52.207,20.987,8.0
52.295,20.999,8.0
52.289,21.0,8.0
52.278,20.975,8.0
52.318,20.974,7.0
52.136,21.018,7.0
52.231,21.073,7.0
52.188,20.98,7.0
52.217,20.995,7.0
52.205,20.892,7.0
52.204,20.941,7.0
52.261,21.049,7.0
52.186,20.972,7.0
52.249,20.911,7.0
52.225,21.179,7.0
52.274,20.969,7.0
52.184,21.067,7.0
52.227,21.144,7.0
52.306,20.986,7.0
52.225,20.958,7.0
52.299,21.057,7.0
52.285,20.991,7.0
52.234,21.077,7.0
52.187,20.98,7.0
52.294,20.999,7.0
52.231,21.071,7.0
52.286,20.993,7.0
52.114,21.109,7.0
52.146,21.094,7.0
52.101,21.019,7.0
52.289,20.998,7.0
52.292,21.009,7.0
52.286,21.048,7.0
52.198,20.931,7.0
52.199,20.933,7.0
52.282,20.983,7.0
52.102,21.019,7.0
52.228,20.964,7.0
52.158,21.018,7.0
52.115,21.108,7.0
52.217,20.999,7.0
52.264,21.056,6.0
52.283,20.985,6.0
52.225,21.045,6.0
52.23,20.897,6.0
52.271,21.062,6.0
52.237,21.08,6.0
52.145,21.095,6.0
52.214,20.955,6.0
52.222,20.959,6.0
52.12,21.018,6.0
52.176,21.021,6.0
52.214,21.092,6.0
52.224,21.214,6.0
52.231,21.135,6.0
52.283,20.987,6.0
52.21,20.949,6.0
52.234,20.956,6.0
52.204,21.114,6.0
52.187,20.969,6.0
52.208,20.892,6.0
52.203,20.939,6.0
52.167,21.079,6.0
52.288,20.998,6.0
