         147166893 function calls (146345743 primitive calls) in 87.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   8615/1    0.025    0.000   87.283   87.283 {built-in method builtins.exec}
        1    0.000    0.000   87.283   87.283 <string>:1(<module>)
        1    2.192    2.192   86.596   86.596 <string>:208(buses_on_time)
   283702    0.456    0.000   59.657    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:534(__init__)
   283702    0.736    0.000   58.999    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:240(__init__)
   283702    0.785    0.000   57.834    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:555(measure)
   283702    0.803    0.000   38.288    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:1012(Inverse)
   283702    4.577    0.000   36.641    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:701(_GenInverse)
   549099    3.614    0.000   21.856    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:624(_Lambda12)
  1439676    0.645    0.000   18.180    0.000 {built-in method strptime}
  1439676    1.516    0.000   17.536    0.000 /usr/lib/python3.11/_strptime.py:565(_strptime_datetime)
  1286990    0.441    0.000   16.954    0.000 <string>:9(convert_t)
  1439676    9.789    0.000   16.020    0.000 /usr/lib/python3.11/_strptime.py:309(_strptime)
   832801    3.022    0.000   15.345    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:430(_Lengths)
   283703    1.898    0.000   14.824    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:275(__init__)
 24883434   10.428    0.000   10.428    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:63(polyval)
   283703    2.947    0.000    5.277    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:367(_C4coeff)
   283703    2.879    0.000    4.884    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:340(_C3coeff)
   832801    2.881    0.000    4.727    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:205(_C1f)
  2763804    3.741    0.000    3.929    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:122(_SinCosSeries)
1134808/567404    1.294    0.000    3.757    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/point.py:154(__new__)
  1439680    0.493    0.000    3.447    0.000 /usr/lib/python3.11/_strptime.py:26(_getlang)
        1    0.000    0.000    3.239    3.239 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:180(save)
        1    0.000    0.000    3.238    3.238 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:361(render)
        1    0.000    0.000    3.059    3.059 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/folium.py:360(render)
        1    0.000    0.000    3.059    3.059 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/elements.py:13(render)
   7901/1    0.058    0.000    3.059    3.059 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:661(render)
   549099    1.444    0.000    2.964    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:405(_C3f)
  1439680    0.699    0.000    2.954    0.000 /usr/lib/python3.11/locale.py:593(getlocale)
   549101    1.737    0.000    2.878    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:255(_C2f)
   567404    0.522    0.000    2.825    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/point.py:461(from_sequence)
     7946    0.015    0.000    2.521    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1161(__new__)
     7946    0.011    0.000    2.506    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1086(from_string)
    16898    0.027    0.000    2.433    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:54(__init__)
     7947    0.016    0.000    2.424    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:728(compile)
   283703    1.346    0.000    2.372    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:323(_A3coeff)
   152686    0.319    0.000    2.011    0.000 <string>:21(str_to_dt)
  1439680    0.602    0.000    1.897    0.000 /usr/lib/python3.11/locale.py:479(_parse_localename)
   567404    0.692    0.000    1.603    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/point.py:56(_normalize_coordinates)
    58461    0.037    0.000    1.577    0.000 <string>:176(delta_t)
