         249311383 function calls (247886283 primitive calls) in 146.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   8615/1    0.026    0.000  146.645  146.645 {built-in method builtins.exec}
        1    0.000    0.000  146.645  146.645 <string>:1(<module>)
        1    2.409    2.409  145.978  145.978 <string>:208(buses_on_time)
   585677    0.897    0.000  118.621    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:534(__init__)
   585677    1.451    0.000  117.325    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:240(__init__)
   585677    1.584    0.000  115.047    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:555(measure)
   585677    1.611    0.000   75.241    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:1012(Inverse)
   585677    8.940    0.000   71.840    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:701(_GenInverse)
  1066279    7.042    0.000   42.063    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:624(_Lambda12)
   585678    3.828    0.000   30.213    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:275(__init__)
  1651955    5.933    0.000   29.954    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:430(_Lengths)
 50023991   20.572    0.000   20.572    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:63(polyval)
  1439652    0.673    0.000   18.559    0.000 {built-in method strptime}
  1439652    1.576    0.000   17.886    0.000 /usr/lib/python3.11/_strptime.py:565(_strptime_datetime)
  1286990    0.444    0.000   17.225    0.000 <string>:9(convert_t)
  1439652    9.972    0.000   16.310    0.000 /usr/lib/python3.11/_strptime.py:309(_strptime)
   585678    6.068    0.000   10.799    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:367(_C4coeff)
