         75635515 function calls (74329514 primitive calls) in 42.923 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  19938/1    0.053    0.000   43.172   43.172 {built-in method builtins.exec}
        1    0.000    0.000   43.172   43.172 <string>:1(<module>)
        1    1.721    1.721   42.523   42.523 <string>:80(get_speeding_info)
  1283414    0.394    0.000   15.981    0.000 <string>:9(convert_t)
  1283414    0.540    0.000   15.588    0.000 {built-in method strptime}
  1283414    1.273    0.000   15.048    0.000 /usr/lib/python3.11/_strptime.py:565(_strptime_datetime)
  1283414    8.582    0.000   13.774    0.000 /usr/lib/python3.11/_strptime.py:309(_strptime)
     9610    0.101    0.000    8.379    0.001 <string>:47(add_to_loc_df)
        1    0.000    0.000    7.974    7.974 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:180(save)
        1    0.000    0.000    7.969    7.969 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:361(render)
        1    0.000    0.000    7.501    7.501 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/folium.py:360(render)
        1    0.000    0.000    7.500    7.500 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/elements.py:13(render)
  19223/1    0.144    0.000    7.500    7.500 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:661(render)
    39542    0.081    0.000    5.973    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:54(__init__)
    19268    0.038    0.000    5.958    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1161(__new__)
    19268    0.029    0.000    5.920    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1086(from_string)
     9610    0.091    0.000    5.813    0.001 <string>:36(add_to_line_df)
    19269    0.039    0.000    5.696    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:728(compile)
    48052    0.166    0.000    4.526    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:4050(__getitem__)
38441/38440    0.042    0.000    3.560    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/ops/common.py:62(new_method)
    33192    0.077    0.000    3.343    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/generic.py:4139(_take_with_is_copy)
    19220    0.076    0.000    3.119    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:4118(_getitem_bool_array)
    33192    0.145    0.000    3.051    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/generic.py:4024(take)
  1283418    0.400    0.000    2.819    0.000 /usr/lib/python3.11/_strptime.py:26(_getlang)
    19269    0.021    0.000    2.724    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:677(_generate)
    19269    0.035    0.000    2.703    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:101(generate)
28831/28830    0.022    0.000    2.680    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/arraylike.py:38(__eq__)
    28830    0.073    0.000    2.659    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/series.py:6101(_cmp_method)
184005/19269    0.180    0.000    2.611    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:35(visit)
    33194    0.091    0.000    2.567    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:869(take)
    19269    0.274    0.000    2.562    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:826(visit_Template)
  1283418    0.585    0.000    2.418    0.000 /usr/lib/python3.11/locale.py:593(getlocale)
    38440    0.114    0.000    2.342    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/series.py:6192(_construct_result)
    13976    0.033    0.000    2.242    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexing.py:1176(__getitem__)
    13974    0.033    0.000    2.182    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexing.py:1397(_getitem_axis)
    13974    0.026    0.000    2.006    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexing.py:1205(_getbool_axis)
    38445    0.307    0.000    1.914    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/series.py:389(__init__)
    19269    0.026    0.000    1.584    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:613(_parse)
  1283418    0.485    0.000    1.570    0.000 /usr/lib/python3.11/locale.py:479(_parse_localename)
    33194    0.059    0.000    1.456    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexing.py:2632(check_bool_indexer)
    33194    0.145    0.000    1.440    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
    19269    0.011    0.000    1.346    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:698(_compile)
    19476    1.338    0.000    1.338    0.000 {built-in method builtins.compile}
8125184/8038663    0.887    0.000    1.335    0.000 {built-in method builtins.isinstance}
     5246    0.015    0.000    1.317    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:157(concat)
    42806    0.106    0.000    1.297    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:4614(_get_item_cache)
   641707    0.895    0.000    1.221    0.000 <string>:13(calc_distance)
    33194    0.058    0.000    1.184    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:687(<listcomp>)
     5246    0.046    0.000    1.153    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:622(get_result)
     5248    0.027    0.000    1.135    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:683(__init__)
    66388    0.122    0.000    1.107    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
    33194    0.151    0.000    1.099    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexers/utils.py:419(check_array_indexer)
    19225    0.042    0.000    1.096    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:687(__call__)
    42806    0.083    0.000    1.089    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:3971(_ixs)
  1283418    0.851    0.000    1.084    0.000 /usr/lib/python3.11/locale.py:396(normalize)
     5248    0.023    0.000    1.061    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
    19225    0.017    0.000    1.047    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:773(_invoke)
  1375621    0.954    0.000    0.954    0.000 {method 'match' of 're.Pattern' objects}
   624969    0.322    0.000    0.925    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:167(iter_child_nodes)
    66388    0.099    0.000    0.912    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/array_algos/take.py:59(take_nd)
48091/28839    0.107    0.000    0.891    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:260(call)
    19269    0.026    0.000    0.884    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:51(__init__)
    59236    0.258    0.000    0.875    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
    19269    0.030    0.000    0.840    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:656(_tokenize)
    67284    0.054    0.000    0.824    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:86(get_name)
    66388    0.332    0.000    0.800    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
     9610    0.006    0.000    0.794    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/arraylike.py:68(__and__)
223678/190485    0.145    0.000    0.792    0.000 {built-in method numpy.asarray}
     9610    0.029    0.000    0.787    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/series.py:6114(_logical_method)
    67284    0.126    0.000    0.770    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:385(_camelify)
112887/70757    0.032    0.000    0.767    0.000 {built-in method builtins.next}
5557026/4923002    0.580    0.000    0.755    0.000 {built-in method builtins.len}
    41712    0.041    0.000    0.748    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:378(__next__)
121737/58384    0.074    0.000    0.697    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:44(generic_visit)
    19269    0.037    0.000    0.674    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:1030(parse)
     5248    0.014    0.000    0.669    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
    41710    0.050    0.000    0.663    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:613(wrap)
    19269    0.020    0.000    0.652    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:602(tokenize)
    28830    0.113    0.000    0.647    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:288(comparison_op)
    798/6    0.003    0.000    0.646    0.108 <frozen importlib._bootstrap>:1167(_find_and_load)
    796/6    0.003    0.000    0.646    0.108 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    751/5    0.002    0.000    0.645    0.129 <frozen importlib._bootstrap>:666(_load_unlocked)
    648/5    0.001    0.000    0.645    0.129 <frozen importlib._bootstrap_external>:934(exec_module)
  1768/10    0.001    0.000    0.645    0.064 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    19269    0.031    0.000    0.631    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:323(__init__)
   104831    0.133    0.000    0.608    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/generic.py:6281(__getattr__)
      363    0.001    0.000    0.607    0.002 /usr/lib/python3.11/json/__init__.py:299(loads)
    67284    0.450    0.000    0.606    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:389(<listcomp>)
